date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2023-05-17,Custom_Risk_8_positive,4,BTC,0.553777075871371,1.1364204517684033,ETH,0.26599606011151516,0.5458574866518247,INJ,0.13225906691933673,0.2714122977056053,GNO,0.04796779709777704,0.09843597364953513
2023-05-24,Custom_Risk_8_positive,4,BTC,0.605420589878309,1.1373348078259216,ETH,0.2684092921123428,0.5042300109493192,GNO,0.07514816958559842,0.1411723196121984,INJ,0.05102194842374976,0.09584913178637265
2023-05-31,Custom_Risk_8_positive,4,BTC,0.6033414761453286,1.1277343783172935,ETH,0.27562573499450665,0.5151852295786903,GNO,0.08212955152645862,0.15351226858114958,BNB,0.03890323733370609,0.07271589954225102
2023-06-07,Custom_Risk_8_positive,4,BTC,0.5455786296493519,1.0915474629400885,ETH,0.3029741423538485,0.6061649750382326,INJ,0.11447350921059535,0.22902889109308175,GNO,0.036973718786204035,0.07397388156951841
2023-06-14,Custom_Risk_8_positive,4,BTC,0.45528361774036713,1.050839186765232,ETH,0.36170225328959915,0.8348442309091546,INJ,0.13870399736531244,0.3201424125819772,GNO,0.04431013160472114,0.10227212411477271
2023-06-21,Custom_Risk_8_positive,4,BTC,0.6076765325541426,1.243396121758546,ETH,0.2694608646819093,0.5513568093586674,GNO,0.06228293854410682,0.12744011013880704,INJ,0.06057966421984134,0.12395495878668714
2023-06-28,Custom_Risk_8_positive,4,BTC,0.500552609037821,1.2199902307014479,ETH,0.2835540884781121,0.6911026165335852,BCH,0.11959292249970921,0.29148224277791446,INJ,0.09630037998435773,0.2347116380425792
2023-07-05,Custom_Risk_8_positive,4,BCH,0.41533181326498025,1.048908004767411,BTC,0.40149950188088934,1.0139749183246642,ETH,0.1764878750831764,0.44571482127478884,INJ,0.006680809770954068,0.01687218417485217
2023-07-12,Custom_Risk_8_positive,4,BCH,0.4647777112077029,1.0589208463866508,BTC,0.3946313497151267,0.8991037065120834,ETH,0.13878873174030404,0.3162076789385783,INJ,0.0018022073368663375,-0.004106037945666241
2023-07-19,Custom_Risk_8_positive,4,BCH,0.4251328904407231,0.9628564531803412,BTC,0.3804535070537358,0.8616649585075065,ETH,0.17982554674129744,0.4072754473243545,AAVE,0.014588055764243615,0.033039559977105844
2023-07-26,Custom_Risk_8_positive,4,BTC,0.476943535322874,0.9591684453710012,BCH,0.2713084579726157,0.5456212163006477,ETH,0.19056120723986777,0.38323257022982676,INJ,0.061186799464642616,0.12305114331825141
2023-08-02,Custom_Risk_8_positive,4,BTC,0.5845560519247281,1.063511416842382,BCH,0.2104094316248828,0.38280817041852144,ETH,0.1679538974829584,0.30556674058572886,AAVE,0.03708061896743065,0.06746258376009887
2023-08-09,Custom_Risk_8_positive,4,BTC,0.6374636882979456,1.124736574929219,ETH,0.1872775685263795,0.33043126197171196,BCH,0.16571086888529524,0.292379124521174,INJ,0.00954787429037958,0.01684620414362649
2023-08-16,Custom_Risk_8_positive,4,BTC,0.6540419879793898,1.1369090912321185,ETH,0.19670026628943374,0.34192043492975693,BCH,0.12136047844492248,0.2109586751250897,INJ,0.027897267286254097,0.04849330376519207
2023-08-23,Custom_Risk_8_positive,4,BTC,0.6368950697816367,1.2397100580658138,ETH,0.27588675992018097,0.5370108945536354,BCH,0.054111161724584245,0.10532684994184756,BNB,0.03310700857359808,0.06444247014697813
2023-08-30,Custom_Risk_8_positive,4,BTC,0.6607924291458744,1.1663743297484717,ETH,0.19346952922629615,0.3414958805895429,INJ,0.13564160990645002,0.2394229789302165,BCH,0.010096431721379287,0.01782135851207716
2023-09-06,Custom_Risk_8_positive,4,BTC,0.6356909817626413,1.1455459606409844,ETH,0.18854891665946358,0.33977428665667386,BCH,0.14952495378744976,0.26945121409666234,DCR,0.02623514779044553,0.04727700791795365
2023-09-13,Custom_Risk_8_positive,4,BTC,0.6494132109197542,1.1031633890617676,ETH,0.22803760869345568,0.3873693004851706,BCH,0.09483122989263569,0.1610905648332775,DCR,0.027717950494154313,0.04708470306859205
2023-09-20,Custom_Risk_8_positive,4,BTC,0.6467576228821517,1.1301465764337715,ETH,0.2096672426268384,0.3663732873979698,BCH,0.13644031941157603,0.23841630065892533,INJ,0.007134815079433798,0.012467401311139114
